"title","text","category"
"At dræbe dyr er unødvendigt og mindre vigtigt end smag","At dræbe dyr er unødvendigt og mindre vigtigt end smag","Synspunkt 1"
"Dyrevelfærd bør være en ret","Dyrevelfærd bør være en ret","Synspunkt 1"
"Dyr lider unødvendigt for menneskelig bekvemmelighed","Dyr lider unødvendigt for menneskelig bekvemmelighed","Synspunkt 1"
"Dyr er ikke mad, de har ret til at leve","Dyr er ikke mad, de har ret til at leve","Synspunkt 1"
"At spise er mindre vigtigt end dyrevelfærd og ret til at leve","At spise er mindre vigtigt end dyrevelfærd og ret til at leve","Synspunkt 1"
"At dræbe er unødvendigt for at overleve","At dræbe er unødvendigt for at overleve","Synspunkt 1"
"At dræbe dyr er mord","At dræbe dyr er mord","Synspunkt 1"
"Dyr har ret til at leve uden at ende som mad","Dyr har ret til at leve uden at ende som mad","Synspunkt 1"
"Dyrevelfærd må komme før smag ","Dyrevelfærd må komme før smag ","Synspunkt 1"
"Dyr har ret til ikke at lide","Dyr har ret til ikke at lide","Synspunkt 1"
"Jeg elsker vores tradition med leverpostej","Jeg elsker vores tradition med leverpostej","Synspunkt 2"
"Jeg spiser for smagens skyld","Jeg spiser for smagens skyld","Synspunkt 2"
"Jeg kan ikke undvære kød, jeg elsker det for meget!","Jeg kan ikke undvære kød, jeg elsker det for meget!","Synspunkt 2"
"Det er en tradition at spise kød","Det er en tradition at spise kød","Synspunkt 2"
"Kød er en del af vores tradition","Kød er en del af vores tradition","Synspunkt 2"
"Vi spiser kød i højtiderne som en tradition.","Vi spiser kød i højtiderne som en tradition.","Synspunkt 2"
"Jeg elsker kød, det er min ret.","Jeg elsker kød, det er min ret.","Synspunkt 2"
"I vores kultur spiser man kød","I vores kultur spiser man kød","Synspunkt 2"
"I vores kultur kan vi ikke undvære kød","I vores kultur kan vi ikke undvære kød","Synspunkt 2"
"I vores kultur spiser man kød, fordi det smager godt","I vores kultur spiser man kød, fordi det smager godt","Synspunkt 2"
