title,text,category
Group helps young people get into fishing industry,"A new Devon community interest company (CIC) is hoping to help with the future of the fishing industry by bringing in new recruits.

Devon Young Fishers aims to get young people aged between 11 and 25 years old interested in a career, with paid-for lessons for those who need them.

CEO Jemma Jewkes started the CIC after conversations with her partner Chris Roberts who runs a fishing charter. ""He and his fellow fishermen are always complaining that there is no youth coming into the industry,"" she said.

""We're trying to save the future of our fishing community by making it fun, inclusive and meaningful from an early age"".

Devon Young Fishers has three goals - teaching practical fishing and safety skills at sea, gaining mentorship and connections, and encouraging participants to explore career pathways in marine sustainability and conservation - meaning it is not just for those wanting to work in industrial fishing.

Evie, 16, who wants to be a marine biologist, said: ""Being out on the water and getting comfortable is really helpful, and also knowing the fish we catch.""

Jack, 14, was the first of the group's students and, because of the help, now wants to be a fisherman when he finishes school.

""It's good fun seeing what you catch, and it's hands-on. You are always doing something"", he said. 

However, in order to be able to take on more people and expand beyond Salcombe, the company needs more commercial fishers and charter skippers who are willing to take on students.

The team is also working to reduce the age on commercial vessels from 16 to 14 to enable more young people to safely come into the industry.

Ms Jewkes said: ""If we get the age lowered to 14, in line with child working regulations and with all proper risk assessments and health and safety, we can introduce more young people into fishing"".",Fishing
Fishing ban on park lake lifted with restrictions,"A fishing ban on a park lake in Lancashire has been lifted, but only within new designated areas.

Angling was suspended at Stanley Park lake in Blackpool on 1 September over fears birds were becoming entangled in tackle.

A public consultation was carried out between 31 March and 11 May and received more than 1,000 submissions.

After considering them, the council said it would work with the Friends of Stanley Park, the Angling Trust and the angling community to establish a Stanley Park Fishing Club, who will ultimately manage fishing on the lake. 

'Park used by many'

Fishing will be allowed within a ""clearly signposted"" designated area, the council said, which would ""help minimise the risk to wildlife and allow fishing activity to be managed more effectively"".

Nigel Patterson, chair of Friends of Stanley Park, said: ""The park is used by many people for many different purposes.

""We know it is a delicate balancing act ensuring that everyone can enjoy the park without impacting on others.

""We are pleased that the council has come to this conclusion and look forward to working with them to establish a formal fishing club.""",Fishing
Cygnet killed by discarded fishing tackle at pond,"A cygnet had to be put down after eating discarded fishing tackle at a pond where an angling ban is in place.

Despite efforts from volunteers and a vet, the bird had to be euthanised after it was found with a yellow tag hanging from its mouth at Hammond's Pond in Carlisle.

Wildlife rescue volunteer Kate Wakefield, who was called to the scene on Sunday, said it was a ""tragic outcome"", adding: ""It made me cry.""

Cumberland Council said the cygnet's death highlighted ""one of the key reasons"" for fishing not being allowed at the pond.

Ms Wakefield said the young bird was sedated and an x-ray showed the barb had gone right down the oesophagus with no way to remove it without causing ""extensive damage"".

""You've got to be really careful in case there's something at the end that will get damaged if you pull anything,"" she said.

The vet felt the only ""humane"" outcome would be to put the cygnet down while it was sedated, Ms Wakefield added.
'Unsuitable place for fishing'

She said the latest death was not an isolated incident.

Several swans and cygnets died after ingesting discarded tackle in 2023 and volunteers are called there every couple of weeks to help wildlife, she said.

Cumberland Council said it was ""dedicated to protecting the wildlife"" in all of its green spaces.

A spokesman said: ""We're currently working closely with onsite youth workers to help engage and educate young people about why Hammond's Pond isn't a suitable place for fishing.

""In the meantime, we carry out regular maintenance of the pond, including clearing litter and removing discarded fishing lines, to minimise the risk to wildlife.""",Fishing
Lifeline for future of village fishing industry,"The fishing industry in a Cornish village has been thrown a lifeline following the closure of Plymouth Fish Market.

Previously the Plymouth market operated a collection and auction service for fish landed at Polperro and other small ports in the area.

The port's only remaining trawler, the Rebecca V, has since been forced to take its catch to Plymouth for it to be transported by lorry to Brixham market.

But Polperro Harbour Trust has now bought its own refrigerated van so that fish landed in the village can instead be taken to a distribution depot in Roche.

Peter Hickey, the chairperson of the Polperro Harbour Trust, said the closure of the fish market in Plymouth meant the end of the collection service from the village.

""As a result some of our bigger vessels that used to land and had their fish picked up, had to drop off at other ports so we lost them altogether.

""The purchase of the van gives us the opportunity to get the larger vessels back in the harbour.""

Mr Hickey said the trust, which is now 130 years old, was established and funded by a small duty charged on fish landed at Polperro.

""It's our heritage, it's what the village is all about, so the trustees have been working quite hard to keep commercial fishing in the village and help keep it viable,"" he said.

""The fishing industry has been under a lot of pressure for years now with catches going down, and quotas and Brexit and all that.

""So it did feel like another nail in the coffin of commercial fishing, which is why we are pleased to turn that around with the purchase of the van.

""The catches are going up and we're putting more fuel through the fuel facilities in the harbour so everything we hoped for is working,"" said Mr Hickey.

The specialist van has been co-funded by the Marine Management Organisation but the trust said it would need to fundraise to keep it in service.

Polperro fisherman Chris Puckey said it would help preserve the village as a proper port.

""If we didn't have the van in five, ten years time we'd see all fancy white yachts in here and that's not what people come to see,"" he said.

""There's been hundreds of years fishing from Polperro, so it would be sad to see it go just because we couldn't transport fish."" ",Fishing
"Fishing boat with striking mural sinks in harbour ","A fishing boat painted with a striking mural, which became a tourist attraction in Plymouth, has sunk.

The vessel, which was built in 1961 and has been moored in Sutton Harbour for over a year, was illustrated with local attractions.

Plymouth artist Kevin Preston told BBC Radio Devon that he and the boat's owner, Neal Stoneman, were ""absolutely gutted"" and they hoped it could be recovered on Tuesday.

Footage and photos of the incident filmed by people in the Barbican area was widely shared on social media.

Mr Preston said the boat had become a local attraction, adding that some of his friends from as far afield as Scotland had travelled to see it while on holiday.

Illustrations painted on the vessel include the Hoe, Tinside Lido, Drake's Island, Mount Batten Pier, the coast of South East Cornwall, Plymouth Sound and Jennycliff Bay.

Neal Stoneman said he had received a phone call alerting him to the incident at around 20:45 BST on Friday.

He said by the time he got there he was told by the dock manager that ""there was nothing that could be done at that time"" and that he should come back on Saturday morning.

When asked what might have caused the boat to sink, he said he had ""no idea whatsoever because the boat's been there for 18 months now with not a problem"".

He said he hoped a team of divers could refloat the 26ft vessel and take it back to a boat storage facility in Plymouth on Tuesday. ",Fishing
Teen heads to US for fly fishing world championships,"A Dorset schoolgirl is part of a squad heading to the US to compete in the World Youth River Fly Fishing Championships.

Lydia Thomas, 17, from Maiden Newton is the only female in the Angling Trust's England under-18 Rivers Squad, and is heading to Idaho Falls.

The teenager, who is studying for her A-levels, has been fly and lure fishing since she was 11 years old.

She said she had never fished outside of the UK and it would be her first time travelling abroad.

Lydia, who has been in the squad for six months, said she got hooked on fishing thanks to her father, David.

She said: ""Mum took me to Sutton Bingham where he was fishing and I would sit underneath him, watching the line over my head.""

Mr Thomas said he would be travelling to Idaho with his daughter, who has type 1 diabetes.

""I am going as her health supporter so she can concentrate on fishing and I can worry about her blood sugar levels,"" he said.

""We've never been abroad and, with the heat, that will affect her blood sugars so it's all a bit unknown.

""I don't fish any more, I watch Lydia, that's where my enjoyment is.

""She's taken it to the next level.""

The World Youth River Fly Fishing Championships takes place at Snake River, Idaho, from 12 to 19 July.",Fishing
More than one tonne of fishing gear to be recycled,"An appeal to collect fishing gear at the end of its useable life saw more than one tonne of equipment dropped off at a dock.

East Suffolk Council held the four-day appeal at Hamilton Dock in Lowestoft to try to prevent redundant tackle from damaging the environment.

Members of the commercial fishing fleet dropped off a total of 1,194kg of items including nets, ropes, plastic pots and fish crates - the gill nets contained the equivalent of several kilometres of filament, line and rope.

Sally Noble, cabinet member for the environment, said it was ""such a reassurance to see so much material recovered through this project"" as discarded equipment could easily trap and entangle marine life.

The exercise was in collaboration with organisations belonging to the Eastern and Southern Plastics Coalition (ESPC), including the Eastern Inshore Fisheries Conservation Authority (IFCA), Keep Britain Tidy and energy firm RWE.

The aim of the exercise was to target abandoned fishing gear encountered and recovered by crews while out at sea. 

The nets which were collected will now be sent off to be shred, the pellets will be used to make new products and ropes will be re-processed and turned into composite mixed plastic board.

Noble, a Green councillor, said there was reassurance this discarded fishing gear would not enter the marine environment, even by accident.

She said: ""The commercial fishing community have really embraced this campaign and done their bit for a healthy marine environment by bringing along old fishing gear for free disposal.

""The great majority of our local fishing fleet take responsibility for managing their end-of-life gear, and I would like to thank everyone who took part.""

Another appeal is planned for a different location on the Suffolk coastline for the autumn, with a date yet to be announced. ",Fishing
Fishing retreat 'helps men with cancer to open up',"A group which aims to help men with cancer by teaching them fly-fishing is hosting its second weekend retreat in the UK.

Reel Recovery started in the US in 2003 and says it has helped more than 4,700 men living with cancer.

This weekend's event near Dereham, in Norfolk, will teach 12 men how to fly-fish while prompting conversations and offering a space for sharing their experiences of the disease.

The organiser, Michael Sayers, said men were ""notoriously bad"" at talking about health and emotions and the fishing trip ""really helps them to open up and think about how cancer has affected their lives and relationships and how they view their future"".

The retreat is free to participants and provides meals and accommodation at the location in North Elmham.

""Fly-fishing is basically like meditation in motion,"" said Mr Sayers.

""You're out there and you're literally immersed in nature or immersed in a river and you have the sound of the water flowing by and rustling the trees, no wifi, no interruptions and it's a simple, mindful, rhythmic act of casting a fly line.""

Reel Recovery ran its first retreat in the UK in Northumberland last year and it has worked with the Big C Cancer Charity and the Norfolk & Norwich University Hospital to organise this one.

Comedians Bob Mortimer and Paul Whitehouse have fished in Norfolk with their BBC TV programme, Mortimer & Whitehouse: Gone Fishing where they share personal experiences of life, and Mortimer's experience of heart problems, while fishing.

Mr Sayers said the Reel Recovery activities were ""cathartic"" and offered men some escape as well.

During the weekend, a ceremony is held, where each man receives a fishing vest which has been passed down from each retreat.

""We have fishing vests which go back 22 years from when Reel Recovery started this programme in the United States and we get every participant to sign and date it and write a message on it,"" he said.

""Some of them will be wearing vests that would have had 22 years of [being worn by] other guys with cancer.

""There's a real feeling of strength that comes from that, and brotherhood."" ",Fishing
Man finds WW2 grenade while fishing with children,"A member of the public discovered a suspected World War Two hand grenade while magnet fishing in a river with his children.

David Lacey was treasure hunting with his children, aged five and eight, in the River Avon near the Five Rivers Leisure Centre in Salisbury, Wiltshire, on Sunday.

Wiltshire Police set up a cordon in the area surrounding the leisure centre and nearby residents were evacuated as a precaution.

The device, thought to be a Mills bomb, was later safely removed by a specialist Explosive Ordnance Disposal team and disposed of in a controlled burn at the Avon Valley Nature Reserve. 

Mr Lacey, who has been magnet fishing every Sunday for several months, says this is the first munition he has ever pulled from the murky water.

""Straight away I knew what it was,"" he said.

""I called the police and stopped people from coming too close. I also dropped it in a bucket of water to try and lessen the explosion, just in case it went off.""

The 46-year-old said he could see the safety pin had crumbled away after spending at least 80 years rusting on the silty riverbed. 

Mr Lacey said his young children were initially scared of the device, but soon became fascinated and ""excited"" by it.

""It's not the first one that's been found in the area, and I don't think it will be the last,"" he said.

He added his five-year-old son had also been tasked with looking after the school's plushie toy that weekend, which they returned with ""a story that no other parent is going to beat"". ",Fishing
Big octopus catch 'does fishing industry a favour',"A massive haul of Mediterranean octopus has helped a Cornish trawler land a catch worth a record £158,000.

The Newlyn-based beam trawler Enterprise was fishing close to the Channel Islands when its crew made the huge catch, a port record in terms of value, crew members said.

About 90% of the catch, some £142,000-worth, was the octopus, which has seen its population explode in UK waters this year.

The influx has caused problems for the shellfish industry in south-west England because octopus eat crabs and lobsters out of fishing pots. Enterprise skipper George Stevens said he had ""done the industry a favour"" by getting rid of a few.

The 42m (138ft) beam trawler was fishing in an area off the Channel Islands known as the Mare Deep when its nets were filled to bursting with nearly 20 tonnes of octopus.

Skipper George Stevens, who has been at the helm for the last 12 months, said: ""The figures were adding up in my head and I thought: 'This is going to be a good payday'.

""I rang one of the crew while he was in the supermarket to tell him how much money I'd just put in his account. I imagine the staff saw some strange reactions.

""The unfortunate thing is that it's been affecting the shellfish industry really badly. But one man's famine is another man's feast and, by getting rid of a few, we've done the industry a favour.""

Last month, shellfish fishermen in Devon complained an ""invasion"" of octopus was ""decimating"" the industry.

It is thought the octopus is coming from Morocco, as fishermen there are reporting a shortage of the creatures.

Dr Emma Sheehan, associate professor of marine ecology at the University of Plymouth, said there were ""a few possibilities"" for octopus appearing in such large numbers.

She said: ""Octopuses might be moving into the area because conditions have improved, perhaps due to better food availability or improved habitat quality from better environmental management.

""Another factor could be higher survival rates, especially in early life stages, possibly due to milder winters. Reduced fishing pressure may also be playing a role.""

It is not the first time the Enterprise has set a port record for Newlyn - it held the previous record for the biggest haul of £87,000 in 2022.

Mr Stevens said processing the huge catch presented its own challenges.

He said: ""These octopus have very big tentacles and they're very grippy.

""My crew only have two arms each and these have eight legs. It was quite entertaining to watch them try to peel them off their bodies.

""They're very fast-moving, were climbing down the elevator, climbing over the bins and up the walls.

""But once they went down to the fish room and touched a bit of ice, they became a bit more sedate.""

Paul Trebilcock is the manging director of W Stevenson & Sons Ltd, which owns the vessel.

He said: ""The catch was processed at Newlyn fish market and bought by one of the largest suppliers in the South West, Ocean Fish based in Roche, and then the vast majority was exported to Spain, Italy and France.

""We don't see it much in restaurants here. But, who knows, this is a new fishery for us, so maybe in the future we'll see it on plenty of restaurant menus."" ",Fishing
